,worker,true_prob_idx,coords,h1Gd_lit,H_lit,KL_lit,dGh1_lit,h1Gd_prag,H_prag,KL_prag,dGh1_prag,posterior,log dGh1_lit,log dGh1_prag
81,A16G6PPH1INQL8,47,"(0, 4)",0.5,0.6931471805599453,0.0,0.0036231884057971015,0.09217005580131916,0.30752999636743206,0.3658216811029973,0.0008905940338322101,0.14,-5.62040086571715,-7.023621864142217
82,A16G6PPH1INQL8,47,"(5, 1)",1.0,0.0,0.6931471805599453,0.0004940711462450593,1.0,0.0,2.3841199755593756,0.0008012157518942244,0.52,-7.6128310304073565,-7.129380293988659
83,A16G6PPH1INQL8,47,"(5, 4)",1.0,0.0,0.0,9.410878976096367e-05,1.0,0.0,0.0,0.00012030797679566144,0.81,-9.271059107010888,-9.02545562965353
84,A16G6PPH1INQL8,55,"(2, 2)",0.25,1.3862943611198906,0.0,0.25,0.25,1.3862943611198906,0.0,0.25,0.12,-1.3862943611198906,-1.3862943611198906
85,A16G6PPH1INQL8,55,"(2, 3)",0.25,1.3862943611198906,0.0,0.16666666666666666,0.25,1.3862943611198906,0.0,0.16666666666666666,0.57,-1.791759469228055,-1.791759469228055
86,A16G6PPH1INQL8,55,"(3, 2)",0.25,1.3862943611198906,0.0,0.25,0.25,1.3862943611198906,0.0,0.25,0.79,-1.3862943611198906,-1.3862943611198906
87,A16G6PPH1INQL8,55,"(3, 3)",0.25,1.3862943611198906,0.0,1.0,0.25,1.3862943611198906,0.0,1.0,0.95,0.0,0.0
88,A16G6PPH1INQL8,57,"(1, 0)",0.5,0.6931471805599453,0.6931471805599453,0.041666666666666664,0.5,0.6931471805599453,0.6931471805599453,0.08328353965296491,0.1,-3.1780538303479458,-2.4855043525411293
89,A16G6PPH1INQL8,57,"(2, 1)",0.5,0.6931471805599453,0.0,0.0036231884057971015,0.5,0.6931471805599453,0.0,0.0063261379754588586,0.18,-5.62040086571715,-5.0630653434830935
90,A16G6PPH1INQL8,57,"(2, 4)",0.5,0.6931471805599453,0.0,0.0004940711462450593,0.5,0.6931471805599453,0.0,0.0006829617393678356,0.28,-7.6128310304073565,-7.289071718457695
91,A16G6PPH1INQL8,57,"(1, 5)",0.5,0.6931471805599453,0.0,9.410878976096367e-05,0.5,0.6931471805599453,0.0,0.00011355872498416747,0.28,-9.271059107010888,-9.083190454106864
92,A16G6PPH1INQL8,60,"(1, 2)",0.25,1.3862943611198906,0.0,0.08333333333333333,0.16666760751018933,1.3296626531328615,0.05663170798702913,0.05555602597864467,0.08,-2.4849066497880004,-2.8903632903164107
93,A16G6PPH1INQL8,60,"(1, 4)",0.25,1.3862943611198906,0.0,0.015151515151515152,0.04814662378170149,1.010008398506376,0.1553512903810651,0.002959823443948883,0.27,-4.189654742026425,-5.822625659739706
94,A16G6PPH1INQL8,60,"(4, 2)",0.5,0.6931471805599453,0.6931471805599453,0.004545454545454545,0.5,0.6931471805599453,2.340357081396586,0.007341508528912466,0.52,-5.393627546352362,-4.914210935822195
95,A16G6PPH1INQL8,60,"(4, 4)",0.5,0.6931471805599453,0.0,0.00202020202020202,0.5,0.6931471805599453,0.0,0.0027100078706106907,0.69,-6.20455776256869,-5.9108037398103574
96,A16G6PPH1INQL8,61,"(2, 0)",0.25,1.3862943611198906,0.0,0.0625,0.2000000006875038,1.3624474858196363,0.023846875300254564,0.05000000032812683,0.0,-2.772588722239781,-2.9957322669914546
97,A16G6PPH1INQL8,61,"(3, 0)",0.25,1.3862943611198906,0.0,0.008333333333333333,0.13860232218853877,1.2591628716826997,0.040912261226365515,0.004620139924265579,0.05,-4.787491742782046,-5.377330287709549
98,A16G6PPH1INQL8,61,"(1, 2)",0.5,0.6931471805599453,0.6931471805599453,0.0017857142857142857,0.5,0.6931471805599453,1.282999257199684,0.0035637022551827766,0.14,-6.327936783729195,-5.63695531518027
99,A16G6PPH1INQL8,61,"(1, 3)",0.5,0.6931471805599453,0.0,0.0005494505494505495,0.5,0.6931471805599453,0.0,0.0010634932370970956,0.41,-7.506591780070841,-6.846196282444253
100,A16G6PPH1INQL8,63,"(1, 1)",0.25,1.3862943611198906,0.0,0.05263157894736842,0.21328542061694122,1.381133790049742,0.005160571070148482,0.044902193814943106,0.0,-2.9444389791664407,-3.103268625406536
101,A16G6PPH1INQL8,63,"(0, 4)",0.25,1.3862943611198906,0.0,0.005847953216374269,0.16998131003597206,1.3587667120254008,0.008966559504333473,0.003976171310152705,0.0,-5.14166355650266,-5.527435905061483
102,A16G6PPH1INQL8,63,"(5, 1)",0.25,1.3862943611198906,0.0,0.0010319917440660474,0.11978809023904011,1.2982012299811687,0.017781925562210338,0.0004944915736000458,0.0,-6.876264611890766,-7.6119804472892705
103,A16G6PPH1INQL8,63,"(5, 4)",0.25,1.3862943611198906,0.0,0.00025799793601651185,0.062483493116799245,1.1292710187113617,0.047921509802502,6.460431542201618e-05,0.0,-8.262558973010657,-9.647229347208492
104,A16G6PPH1INQL8,68,"(2, 1)",0.5,0.6931471805599453,0.6931471805599453,0.1111111111111111,0.5,0.6931471805599453,0.6931471805599453,0.1976227905201354,0.05,-2.1972245773362196,-1.6213951636787671
105,A16G6PPH1INQL8,68,"(2, 3)",0.5,0.6931471805599453,0.0,0.027777777777777776,0.5,0.6931471805599453,0.0,0.03333333196799992,0.05,-3.58351893845611,-3.401197422622159
106,A16G6PPH1INQL8,68,"(4, 1)",0.5,0.6931471805599453,0.0,0.011904761904761904,0.5,0.6931471805599453,0.0,0.012499999999999421,0.05,-4.430816798843313,-4.382026634673928
107,A16G6PPH1INQL8,68,"(4, 3)",0.5,0.6931471805599453,0.0,0.007936507936507936,0.5,0.6931471805599453,0.0,0.008,0.66,-4.836281906951478,-4.8283137373023015
108,A16G6PPH1INQL8,73,"(0, 0)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.06666666666666667,0.271303048420526,1.0656181013000756,0.32067625981981507,0.07234748168731821,0.0,-2.70805020110221,-2.6262746338730025
109,A16G6PPH1INQL8,73,"(3, 0)",0.3333333333333333,1.0986122886681096,0.0,0.009523809523809525,0.17223350312229072,0.882720383812934,0.07940798703716909,0.006562258753222748,0.0,-4.653960350157523,-5.026420413153788
110,A16G6PPH1INQL8,73,"(4, 1)",0.3333333333333333,1.0986122886681096,0.0,0.002197802197802198,0.034562281106377615,0.2992820476339326,0.21541631295344033,0.00031891278575658976,0.0,-6.12029741895095,-8.05059289144188
111,A16G6PPH1INQL8,73,"(1, 0)",0.5,0.6931471805599453,0.4054651081081644,0.0007326007326007326,0.5,0.6931471805599453,2.671845152429057,0.0012905608013317354,0.0,-7.21890970761906,-6.652678425361618
112,A16G6PPH1INQL8,74,"(1, 3)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.16666666666666666,0.3333333333333333,1.0986122886681096,0.28768207245178085,0.22222096775711045,0.0,-1.791759469228055,-1.5040830418852107
113,A16G6PPH1INQL8,74,"(2, 2)",0.3333333333333333,1.0986122886681096,0.0,0.06666666666666667,0.3333333333333333,1.0986122886681096,0.0,0.08302368629666004,0.05,-2.70805020110221,-2.488629334829636
114,A16G6PPH1INQL8,74,"(3, 1)",0.3333333333333333,1.0986122886681096,0.0,0.05,0.3333333333333333,1.0986122886681096,0.0,0.052631578840652476,0.18,-2.995732273553991,-2.9444389811940432
115,A16G6PPH1INQL8,74,"(3, 3)",0.3333333333333333,1.0986122886681096,0.0,0.06666666666666667,0.3333333333333333,1.0986122886681096,0.0,0.06666666666666668,0.67,-2.70805020110221,-2.70805020110221
116,A16G6PPH1INQL8,75,"(1, 2)",0.25,1.3862943611198906,0.0,0.125,0.16666760751018933,1.242456425744834,0.14383793537505668,0.08333427418216714,0.13,-2.0794415416798357,-2.484895359665728
