,worker,true_prob_idx,coords,h1Gd_lit,H_lit,KL_lit,dGh1_lit,h1Gd_prag,H_prag,KL_prag,dGh1_prag,log dGh1_lit,log dGh1_prag
383,A1EN3FW93BSXQQ,61,"(5, 3)",0.5,0.6931471805599453,0.0,0.0017857142857142857,1.0,3.4325059664230423e-26,5.937472735693385e-13,0.0028363045458596973,-6.327936783729195,-5.865253290372576
384,A1EN3FW93BSXQQ,62,"(4, 2)",0.25,1.3862943611198906,0.0,0.08333333333333333,0.5804387961535649,0.9746974895413386,0.4115968715785521,0.08333333333333333,-2.4849066497880004,-2.4849066497880004
385,A1EN3FW93BSXQQ,62,"(1, 0)",0.25,1.3862943611198906,0.0,0.015151515151515152,0.9991930594493398,0.006925136471852565,0.5377574254242455,0.015151515151515154,-4.189654742026425,-4.189654742026425
386,A1EN3FW93BSXQQ,62,"(5, 2)",0.25,1.3862943611198906,0.0,0.004545454545454545,1.0,3.135937913520065e-19,0.0008072663024397536,0.004545454545454545,-5.393627546352362,-5.393627546352362
387,A1EN3FW93BSXQQ,64,"(1, 2)",0.5,0.6931471805599453,0.6931471805599453,0.05555555555555555,0.46380022403409044,0.690524038571896,0.6957703225479945,0.09276004480681804,-2.890371757896165,-2.3777392835546247
388,A1EN3FW93BSXQQ,64,"(5, 0)",1.0,0.0,0.6931471805599453,0.006535947712418301,1.0,0.0,0.768301371120524,0.022988502256591492,-5.030437921392435,-3.7727610899329203
389,A1EN3FW93BSXQQ,64,"(5, 5)",1.0,0.0,0.0,0.0012254901960784314,1.0,0.0,0.0,0.002717391304347825,-6.704414354964107,-5.908082938168931
390,A1EN3FW93BSXQQ,65,"(4, 0)",0.5,0.6931471805599453,0.6931471805599453,0.058823529411764705,0.22953283647192618,0.5387112461241432,0.8475831149957473,0.0382554735798552,-2.833213344056216,-3.2634686288205055
391,A1EN3FW93BSXQQ,65,"(2, 2)",1.0,0.0,0.6931471805599453,0.007352941176470588,1.0,0.0,1.4717091814072156,0.014423077060799991,-4.912654885736052,-4.238925781484409
392,A1EN3FW93BSXQQ,65,"(5, 4)",1.0,0.0,0.0,0.0014705882352941176,1.0,0.0,0.0,0.002249036050478932,-6.522092798170152,-6.097253576574101
393,A1EN3FW93BSXQQ,68,"(2, 1)",0.5,0.6931471805599453,0.6931471805599453,0.1111111111111111,0.7979192587873557,0.5032734487032384,0.8830209124166523,0.1984955709926356,-2.1972245773362196,-1.6169884914834864
394,A1EN3FW93BSXQQ,68,"(4, 3)",0.5,0.6931471805599453,0.0,0.027777777777777776,0.999999999973384,6.747038466539803e-10,0.22574786547763115,0.03333333333333333,-3.58351893845611,-3.4011973816621555
395,A1EN3FW93BSXQQ,69,"(2, 1)",0.5,0.6931471805599453,0.6931471805599453,0.0625,0.5665745978789773,0.6842564466104435,0.7020379145094473,0.08498672878406222,-2.772588722239781,-2.465260166633892
396,A1EN3FW93BSXQQ,69,"(0, 3)",1.0,0.0,0.6931471805599453,0.008333333333333333,1.0,0.0,0.5681465251375397,0.018987350058630267,-4.787491742782046,-3.963982307937758
397,A1EN3FW93BSXQQ,69,"(5, 2)",1.0,0.0,0.0,0.0017857142857142857,1.0,0.0,0.0,0.003472221689576833,-6.327936783729195,-5.66296063353783
398,A1EN3FW93BSXQQ,70,"(1, 4)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.125,0.3187397118451347,1.0404525817531545,0.3458417793667364,0.1274958847380539,-2.0794415416798357,-2.059671191468839
399,A1EN3FW93BSXQQ,70,"(4, 1)",0.3333333333333333,1.0986122886681096,0.0,0.03571428571428571,0.18313437019304274,0.6466766575208684,0.20198479272948439,0.016278611534819593,-3.332204510175204,-4.117903208603841
400,A1EN3FW93BSXQQ,70,"(4, 3)",0.5,0.6931471805599453,0.4054651081081644,0.017857142857142856,0.9792053245205553,0.10111594247173548,1.6261996164081445,0.02939003602724365,-4.02535169073515,-3.5270995727186616
401,A1EN3FW93BSXQQ,72,"(0, 0)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.08333333333333333,0.3909748368213916,1.087843407735319,0.29845095338457184,0.09199407925209215,-2.4849066497880004,-2.3860310599595502
402,A1EN3FW93BSXQQ,72,"(0, 3)",0.5,0.6931471805599453,0.4054651081081644,0.015151515151515152,0.7412253376490928,0.5717713465905907,0.4612563147049411,0.021800745224973318,-4.189654742026425,-3.8258111251395714
403,A1EN3FW93BSXQQ,72,"(5, 5)",0.5,0.6931471805599453,0.0,0.004545454545454545,0.94091137113214,0.22445245402425268,0.13717988929885366,0.0055347731869337495,-5.393627546352362,-5.196704691631572
404,A1EN3FW93BSXQQ,76,"(1, 2)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.0625,0.315188429207615,1.0920638016181685,0.29423055950172217,0.063037685841523,-2.772588722239781,-2.7640225434730223
405,A1EN3FW93BSXQQ,76,"(4, 3)",0.5,0.6931471805599453,0.4054651081081644,0.008333333333333333,0.2938540091373806,0.6055665251938109,0.4042439747524882,0.006186400195214376,-4.787491742782046,-5.085401913114041
406,A1EN3FW93BSXQQ,76,"(0, 4)",1.0,0.0,0.6931471805599453,0.0017857142857142857,1.0,0.0,1.2246722025338859,0.0036407742196027976,-6.327936783729195,-5.6155589222573585
407,A1EN3FW93BSXQQ,81,"(2, 1)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.125,0.5521951303975379,0.9844972227771631,0.4017971383427277,0.1299282661114308,-2.0794415416798357,-2.040772779966569
408,A1EN3FW93BSXQQ,81,"(4, 4)",0.3333333333333333,1.0986122886681096,0.0,0.03571428571428571,0.999178384554736,0.007043159647065781,0.5874454229535165,0.03571441817154896,-3.332204510175204,-3.3322008013787108
409,A1EN3FW93BSXQQ,81,"(4, 1)",0.3333333333333333,1.0986122886681096,0.0,0.017857142857142856,1.0,5.27377472630486e-20,0.0008219531562256144,0.017857142857142856,-4.02535169073515,-4.02535169073515
410,A1EN3FW93BSXQQ,83,"(4, 1)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.125,0.6727526753961912,0.6373123464083323,0.7489820147115583,0.14424186861153124,-2.0794415416798357,-1.9362637452934846
