,worker,true_prob_idx,coords,h1Gd_lit,H_lit,KL_lit,dGh1_lit,h1Gd_prag,H_prag,KL_prag,dGh1_prag,posterior,response_time,log dGh1_lit
79,A10249252O9I20MRSOBVF,80,"(4, 4)",0.3333333333333333,1.0986122886681096,0.0,0.015151515151515152,0.0006752837077816705,0.007043159647065781,0.5874454229535165,2.4137196217366207e-05,0.39,21092,-4.189654742026425
80,A10249252O9I20MRSOBVF,81,"(2, 1)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.125,0.5521951303975379,0.9844972227771631,0.4017971383427277,0.1299282661114308,0.34,11815,-2.0794415416798357
81,A10249252O9I20MRSOBVF,81,"(4, 4)",0.3333333333333333,1.0986122886681096,0.0,0.03571428571428571,0.999178384554736,0.007043159647065781,0.5874454229535165,0.03571441817154896,0.43,8303,-3.332204510175204
82,A10249252O9I20MRSOBVF,81,"(2, 4)",0.3333333333333333,1.0986122886681096,0.0,0.017857142857142856,1.0,5.27377472630486e-20,0.0008219531562256144,0.017857142857142856,0.5,6892,-4.02535169073515
83,A10249252O9I20MRSOBVF,81,"(4, 1)",0.3333333333333333,1.0986122886681096,0.0,0.014285714285714285,1.0,2.2151935127634446e-37,-1.0100135722706119e-37,0.014285714285714285,0.71,2565,-4.248495242049359
84,A10249252O9I20MRSOBVF,82,"(3, 2)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.08333333333333333,0.6001112380762577,0.6818022763263069,0.7044920847935838,0.12865846380965695,0.37,13349,-2.4849066497880004
85,A10249252O9I20MRSOBVF,82,"(3, 1)",0.5,0.6931471805599453,0.4054651081081644,0.015151515151515152,0.999999999997087,8.028647704602031e-11,0.5106402440936383,0.0338536799650379,0.47,9428,-4.189654742026425
86,A10249252O9I20MRSOBVF,83,"(1, 4)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.125,0.5531801343474673,0.9880310411759311,0.3982633199439595,0.11861102345650643,0.28,17625,-2.0794415416798357
87,A10249252O9I20MRSOBVF,83,"(4, 1)",0.5,0.6931471805599453,0.4054651081081644,0.03571428571428571,0.9975921493536567,0.01692193102017276,0.5768901782688051,0.03573365027108356,0.41,6061,-3.332204510175204
88,A10249252O9I20MRSOBVF,84,"(1, 3)",0.5,0.6931471805599453,0.6931471805599453,0.05555555555555555,0.5545994801698415,0.6871730679061833,0.6991212932137076,0.10083626912178933,0.39,21291,-2.890371757896165
89,A10249252O9I20MRSOBVF,84,"(1, 0)",1.0,0.0,0.6931471805599453,0.006535947712418301,1.0,0.0,0.5895090831073511,0.01988314164516926,0.43,35857,-5.030437921392435
90,A10249252O9I20MRSOBVF,84,"(4, 0)",1.0,0.0,0.0,0.0012254901960784314,1.0,0.0,0.0,0.002747252747346243,0.48,8906,-6.704414354964107
91,A10249252O9I20MRSOBVF,84,"(1, 5)",1.0,0.0,0.0,0.000326797385620915,1.0,0.0,0.0,0.0006107731455356125,0.85,12542,-8.026170194946426
92,A10249252O9I20MRSOBVF,85,"(0, 1)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.125,0.618033988749895,0.6650183864440036,0.7212759746758872,0.15450849718747375,0.42,15033,-2.0794415416798357
93,A10249252O9I20MRSOBVF,85,"(1, 2)",0.5,0.6931471805599453,0.4054651081081644,0.03571428571428571,0.8728910595697271,0.38085373499296865,0.16152441527247874,0.039676866345279636,0.6,4988,-3.332204510175204
94,A10249252O9I20MRSOBVF,85,"(4, 3)",0.5,0.6931471805599453,0.0,0.017857142857142856,1.0,1.3131301098069343e-15,0.13594451950919936,0.018518518518518517,0.66,5914,-4.02535169073515
95,A10249252O9I20MRSOBVF,85,"(5, 4)",0.5,0.6931471805599453,0.0,0.014285714285714285,1.0,1.1108446863985086e-34,-6.011089360375238e-35,0.014388489208633094,0.83,3018,-4.248495242049359
96,A10249252O9I20MRSOBVF,86,"(1, 3)",0.3333333333333333,1.0986122886681096,0.28768207245178085,0.125,0.3819660112501052,1.07602235241001,0.3102720087098805,0.0954915028125263,0.22,20629,-2.0794415416798357
